nodeA,nodeB,relationship
154,111,1217725450
86,2089740,1217726167
86,104,1217726481
157,13,1217726572
86,105,1217727034
161,147,1217728147
156,61,1217728170
156,154,1217728616
157,2089740,1217729032
154,78,1217729198
157,154,1217729200
156,134,1217732586
136,136,1217734845
154,25,1217739345
58,25,1217739908
163,49,1217743253
39,25,1217745430
149,91,1217745604
34,91,1217746269
116,157,1217747099
116,91,1217748123
111,91,1217749023
116,116,1217751456
76,91,1217752682
175,49,1217752796
175,83,1217753398
175,136,1217753629
156,61,1217755805
13,25,1217755970
173,172,1217758050
183,151,1217766140
154,184,1217768615
122,136,1217773734
33,172,1217775037
188,111,1217777697
91,143,1217788898
197,154,1217790558
197,191,1217791595
197,104,1217792076
117,115,1217792916
199,146637,1217793684
51,40,1217794341
200,59,1217794488
51,191,1217794945
34,115,1217796505
209,49,1217797021
206,32,1217797164
30,91,1217798840
111,199,1217799050
200,204,1217799549
46,91,1217800132
51,91,1217800638
91,111,1217800664
34,111,1217800760
27,111,1217801240
216,136,1217802112
205,192,1217802278
145,199,1217803642
173,91,1217803723
154,199,1217804359
192,192,1217804757
58,192,1217805163
199,199,1217805209
219,192,1217805907
192,192,1217806282
142,192,1217806431
34,192,1217806534
214,214,1217809891
51,214,1217810263
214,96,1217811990
175,214,1217812734
175,192,1217812967
157,79,1217813233
150,1384652,1217813547
229,79,1217813844
189,207,1217814009
175,143,1217814393
175,184,1217814737
157,157,1217815560
227,192,1217815858
227,9,1217817055
230,111,1217817408
1384652,1384652,1217819225
234,9,1217821233
233,233,1217821527
91,233,1217821727
234,233,1217823453
200,101,1217823896
204,204,1217824274
224,224,1217824277
60,186,1217824300
101,101,1217824585
93,238,1217825504
204,238,1217825730
34,93,1217826772
91,93,1217826895
233,233,1217828046
150,203,1217828666
91,203,1217828744
34,203,1217828862
34,58,1217829131
58,58,1217829137
159,101,1217829975
91,58,1217830016
153,203,1217830103
91,131,1217830848
200,131,1217831319
234,131,1217831533
234,203,1217831885
200,232,1217832767
243,60,1217833014
34,58,1217833066
137,58,1217833505
122,200,1217834580
243,60,1217834635
136,203,1217834655
55,34,1217834711
200,34,1217834728
91,200,1217835314
116,61,1217836312
91,246,1217837000
246,246,1217837223
244,78,1217837227
243,245,1217837234
206,204,1217837586
91,246,1217837697
206,60,1217838558
49,245,1217838691
101,91,1217841299
116,186,1217842209
200,145,1217842273
122,145,1217842600
1,233,1217843107
233,233,1217843655
55,85,1217846371
13,85,1217847892
1,233,1217849462
93,245,1217850305
231,91,1217850312
77,243,1217850520
234,234,1217850644
116,87,1217852519
46,231,1217853885
55,254,1217854793
227,254,1217854912
227,2,1217855416
234,254,1217855531
234,254,1217855682
13,13,1217856138
234,87,1217856382
55,13,1217856543
3,2,1217857180
116,85,1217857952
231,231,1217859177
257,104,1217861138
122,257,1217861331
1,67,1217862281
214,214,1217862896
116,236,1217863267
2090742,257,1217863615
86,260,1217865256
51,67,1217865857
51,260,1217866112
13,236,1217869815
227,233,1217870401
91,93,1217870825
39,93,1217871093
264,264,1217871664
227,91,1217872299
40,91,1217872346
267,91,1217872932
268,260,1217873031
46,9,1217873474
200,188,1217873688
267,188,1217873852
268,188,1217873994
2090742,188,1217874058
200,264,1217874314
188,188,1217874933
263,188,1217875187
91,120,1217875297
120,120,1217875919
275,120,1217876202
266,120,1217876583
267,280,1217876995
206,91,1217877107
60,281,1217878083
34,25,1217878104
275,281,1217878344
258,258,1217878849
188,280,1217878875
192,258,1217880032
120,120,1217881351
257,61,1217882141
48,281,1217882379
173,120,1217882634
149,258,1217882689
206,91,1217882882
34,230,1217883126
264,230,1217883305
268,1,1217883446
30,230,1217883604
206,87,1217883734
257,39,1217884187
91,292,1217884194
267,25,1217884263
48,292,1217884454
268,292,1217884679
46,194,1217885412
275,292,1217885712
35,91,1217886020
268,61,1217886296
25,192,1217886760
267,192,1217887009
192,192,1217887048
267,121,1217887164
91,200,1217887487
216,302,1217887879
91,312,1217887933
312,91,1217887957
268,2089740,1217888079
267,2089740,1217888080
39,2089740,1217888171
39,83,1217888509
313,109,1217888523
267,83,1217888588
29,83,1217888643
194,83,1217888799
17,30,1217888815
91,83,1217888903
267,2089740,1217888989
268,83,1217889064
17,2089740,1217889075
17,91,1217889451
199,2089740,1217889463
267,2089740,1217889489
91,83,1217889699
35,312,1217890002
35,91,1217890362
136,302,1217891002
269,302,1217891912
26,26,1217891985
206,83,1217892314
266,314,1217893011
91,60,1217893083
40,26,1217893180
34,314,1217893277
212,1,1217893806
225,149,1217893863
269,58,1217894408
60,58,1217894427
70,172,1217894440
35,149,1217894576
26,71,1217894737
58,58,1217894748
1384652,287,1217894906
45,230,1217895173
269,25,1217895386
60,123,1217896126
55,236,1217896437
307,91,1217896739
292,236,1217897493
40,58,1217897580
200,106,1217897786
304,200,1217897882
26,91,1217898050
333,331,1217898123
192,106,1217898237
60,331,1217898288
198,236,1217898860
296,106,1217899420
305,92,1217899573
269,92,1217899646
2089740,92,1217900085
35,106,1217900396
198,30,1217900655
269,214,1217901034
59,30,1217901683
83,83,1217901843
91,83,1217901972
27,27,1217902184
2089740,149,1217902229
199,136,1217902262
83,83,1217902382
304,214,1217902397
59,149,1217902403
149,149,1217902426
91,93,1217902773
34,93,1217902774
122,93,1217902968
313,143,1217904709
96,332,1217905661
313,93,1217906070
153,136,1217906552
92,117,1217908491
307,117,1217908700
58,117,1217908727
2089740,117,1217908897
332,25,1217908974
2089740,40,1217909174
122,117,1217909213
341,131,1217909229
71,40,1217909304
25,117,1217909371
271,117,1217909424
71,117,1217909454
271,40,1217909650
102,192,1217909782
199,117,1217909807
67,83,1217910170
52,117,1217910481
1384652,131,1217910524
318,117,1217910689
52,40,1217910838
52,83,1217911018
1384652,59,1217911085
173,230,1217911561
92,1384652,1217912051
318,186,1217912055
224,328,1217912058
192,328,1217912453
92,204,1217912519
52,25,1217912555
27,230,1217913257
225,230,1217913485
52,25,1217913527
1384652,91,1217913677
72,204,1217913794
117,204,1217913964
199,91,1217913989
52,204,1217914020
122,72,1217914138
207,204,1217914200
308,91,1217914552
116,91,1217914578
48,117,1217914754
3,230,1217914975
216,72,1217915111
275,230,1217915132
230,72,1217915266
91,340,1217915520
308,91,1217915551
52,340,1217915790
115,115,1217916435
316,340,1217916498
230,350,1217916605
91,350,1217916630
101,340,1217916829
183,25,1217917743
59,55,1217917974
92,303,1217919067
292,87,1217919171
137,314,1217919196
101,349,1217919252
91,349,1217919414
275,349,1217920355
137,137,1217921768
332,1,1217922176
137,131,1217922582
137,137,1217923050
307,234,1217923068
219,137,1217923392
234,117,1217923402
164,236,1217923670
234,117,1217923759
313,230,1217923890
234,32,1217923957
77,59,1217924070
157,303,1217924746
77,349,1217924774
307,230,1217925076
117,194,1217925154
357,349,1217925280
332,137,1217925576
292,194,1217925853
62,62,1217926165
358,234,1217927270
308,234,1217927724
205,91,1217928060
205,172,1217928902
116,30,1217930094
275,172,1217930424
87,172,1217930861
116,30,1217931115
2089740,36,1217931867
2089740,116,1217932023
30,30,1217933517
216,116,1217933842
30,242,1217934498
116,116,1217934833
26,242,1217935176
50,30,1217935683
275,242,1217935701
160,72,1217936173
303,81,1217936850
172,91,1217936955
50,81,1217936966
363,236,1217937390
157,115,1217937472
5,91,1217937583
122,81,1217937757
231,230,1217938031
198,91,1217938385
157,79,1217938855
342,79,1217938862
51,81,1217939043
328,194,1217939441
364,364,1217940207
328,79,1217940502
22,9,1217940863
46,36,1217941246
269,116,1217943810
116,116,1217944139
122,116,1217945995
269,2090742,1217946225
269,116,1217946460
269,122,1217947226
122,122,1217947514
227,195,1217947783
122,195,1217947914
195,51,1217948052
192,195,1217948213
5,116,1217948291
232,51,1217948521
116,2090742,1217948581
198,116,1217948652
122,51,1217948662
227,195,1217948756
192,195,1217948802
48,194,1217949725
342,63,1217950153
370,63,1217950639
298,91,1217950985
46,46,1217951795
137,116,1217952225
370,46,1217952658
369,116,1217952728
137,137,1217952749
332,116,1217953435
269,269,1217953540
91,369,1217954233
358,332,1217954635
266,372,1217954861
200,51,1217955423
188,46,1217955646
188,298,1217955907
200,298,1217955998
371,67,1217956071
269,298,1217956537
377,117,1217956665
259,372,1217956748
364,358,1217956820
372,358,1217956873
307,358,1217956975
377,298,1217957048
198,372,1217957382
383,298,1217958635
95,11,1217959307
266,372,1217960438
230,372,1217960828
369,83,1217961358
389,83,1217961869
91,383,1217962258
120,83,1217962456
383,193,1217962803
371,87,1217963081
372,373,1217963259
91,373,1217963261
200,373,1217963266
296,373,1217963673
136,193,1217964316
200,371,1217964320
200,383,1217964455
383,193,1217964512
200,340,1217964634
267,380,1217964760
193,193,1217964867
34,380,1217965027
120,380,1217965210
72,269,1217965231
287,269,1217965600
246,340,1217965637
383,396,1217965769
72,58,1217965784
227,371,1217965876
17,395,1217965907
48,193,1217965970
304,340,1217966015
266,395,1217966060
384,396,1217966214
40,340,1217966623
193,395,1217966625
34,383,1217967026
377,383,1217967135
26,383,1217967353
17,383,1217967519
156,116,1217967763
402,25,1217967856
380,111,1217967883
33,307,1217968007
396,396,1217968081
383,307,1217968086
225,383,1217968112
195,379,1217968147
25,307,1217968258
193,269,1217968820
307,193,1217968935
106,149,1217969007
259,394,1217969138
17,394,1217969147
91,383,1217969220
390,379,1217969243
51,111,1217969299
137,137,1217969830
140,25,1217969867
193,383,1217969932
91,383,1217970290
307,111,1217970404
410,25,1217970493
137,26,1217970792
140,26,1217970838
95,245,1217971042
149,192,1217971141
51,192,1217971166
170,307,1217971276
35,26,1217971394
409,91,1217971439
39,193,1217971453
51,67,1217971519
383,383,1217971601
121,91,1217971773
414,3394,1217971926
404,193,1217972172
402,25,1217972565
25,307,1217972838
409,91,1217973068
377,40,1217973116
67,67,1217973263
373,143,1217973370
377,95,1217973460
26,95,1217973535
304,307,1217973556
383,40,1217974122
72,95,1217974758
71,95,1217974781
26,95,1217975215
72,58,1217975430
275,143,1217975503
380,116,1217975541
383,116,1217975658
309844,116,1217975854
170,116,1217975856
266,91,1217976286
316,91,1217976306
275,379,1217976395
316,311,1217976435
2089740,79,1217976471
305,58,1217976490
91,58,1217976491
398,311,1217976537
402,91,1217976574
316,152,1217976605
383,277,1217976671
399,277,1217976959
312,277,1217977020
269,394,1217977164
2089740,152,1217977167
342,311,1217977361
269,277,1217977529
91,303,1217977596
200,58,1217977720
312,303,1217977862
269,307,1217977923
27,91,1217978138
422,340,1217978161
26,350,1217978516
157,307,1217978693
269,307,1217978786
1384652,307,1217978859
225,307,1217978860
157,3394,1217978921
428,350,1217979040
106,307,1217979131
312,417,1217979317
308,417,1217979350
152,428,1217979403
91,136,1217979403
341,303,1217979413
46,46,1217979635
77,136,1217979637
414,136,1217979791
72,308,1217979841
30,136,1217979875
91,308,1217979883
55,136,1217980146
91,136,1217980161
46,308,1217980171
50,136,1217980363
30,136,1217980395
285,136,1217980408
285,136,1217980488
71,71,1217980950
106,277,1217982025
238,131,1217982129
350,307,1217982201
431,303,1217982504
350,136,1217982924
17,136,1217983227
17,91,1217983560
373,136,1217983719
383,192,1217984472
225,434,1217985134
434,434,1217985691
383,434,1217985698
152,383,1217986118
380,434,1217986279
34,406,1217986316
380,406,1217986436
309844,406,1217986484
149,406,1217986527
383,406,1217986561
71,383,1217986575
72,406,1217986608
227,406,1217986680
423,406,1217986760
266,406,1217986763
225,383,1217986798
137,406,1217986830
357,383,1217986894
305,406,1217986898
434,383,1217987119
327,434,1217987129
305,432,1217987201
383,432,1217987205
34,432,1217987303
137,136,1217987386
45,432,1217987398
199,136,1217987409
36,17,1217987624
431,116,1217987687
342,91,1217987700
224,383,1217987823
383,357,1217987915
116,26,1217987966
71,357,1217988039
414,357,1217988070
25,406,1217988115
350,434,1217988548
414,45,1217988649
434,434,1217988671
92,45,1217988705
432,434,1217988887
225,434,1217988979
30,406,1217989117
423,45,1217989143
435,432,1217989309
34,45,1217989506
58,432,1217989709
404,357,1217989923
434,307,1217989960
116,432,1217990331
415,432,1217991312
383,184,1217991317
92,435,1217991352
423,72,1217991403
357,435,1217991545
304,435,1217991553
91,435,1217991579
432,431,1217991599
415,45,1217991614
116,75,1217991643
198,435,1217991826
25,396,1217991865
91,396,1217991927
36,396,1217991949
432,443,1217992103
404,396,1217992140
306,75,1217992155
289,447,1217992305
91,434,1217992349
306,431,1217992396
444,415,1217992412
269,431,1217992540
2089740,45,1217992563
308,447,1217992586
446,8,1217992710
383,33,1217992877
34,33,1217993013
308,396,1217993168
342,396,1217993186
237,307,1217993243
269,116,1217993256
34,415,1217993310
307,396,1217993481
45,33,1217993568
192,328,1217993581
39,437,1217993681
415,33,1217993850
234,447,1217994151
269,116,1217994211
30,116,1217994232
429,33,1217994368
75,116,1217994382
446,25,1217994553
289,448,1217994663
234,234,1217994780
318,448,1217994793
448,448,1217994799
271,304,1217994846
75,396,1217994942
419,33,1217994988
271,396,1217995052
449,437,1217995097
36,383,1217995161
453,396,1217995180
200,432,1217995355
269,432,1217995387
383,437,1217995487
36,383,1217995510
216,431,1217995830
383,116,1217995889
216,116,1217996012
274,232,1217996027
233,396,1217996526
116,116,1217996562
327,404,1217996625
449,206,1217996667
25,396,1217996670
360,422,1217996865
170,404,1217996878
307,396,1217996926
42,206,1217996979
72,116,1217996991
206,437,1217997121
99,396,1217997615
224,432,1217997624
116,381,1217997742
227,446,1217997917
455,25,1217997989
122,25,1217998152
1384652,454,1217998364
227,396,1217998500
271,454,1217998580
457,454,1217998943
453,434,1217999007
122,277,1217999009
1384652,277,1217999013
30,116,1217999052
376,277,1217999291
25,25,1217999596
103,381,1217999844
446,371,1217999849
306,85,1218000058
275,1384652,1218000865
431,431,1218000896
404,404,1218001027
92,1384652,1218001217
454,454,1218001240
71,404,1218001437
357,39,1218001669
419,51,1218001868
30,116,1218002286
332,406,1218003603
234,446,1218003720
432,116,1218004664
306,184,1218005383
124,362,1218005645
122,362,1218005822
92,58,1218006022
204,454,1218006334
204,58,1218006967
419,58,1218007463
188,25,1218007587
188,1384652,1218007776
99,145,1218008015
188,381,1218008403
432,362,1218008520
188,304,1218008761
429,861,1218010692
402,861,1218011293
457,324,1218011857
364,364,1218012825
313,32,1218012861
459,49,1218012862
49,100,1218012910
457,155,1218013018
49,434,1218013098
431,391,1218014669
468,350,1218014795
372,391,1218015097
2089740,358,1218015307
453,391,1218015337
2089740,439,1218015653
234,391,1218015801
369,358,1218015893
392,391,1218016322
358,358,1218016498
431,358,1218016816
457,147,1218016883
216,358,1218017535
116,358,1218017558
40,358,1218017615
369,358,1218017971
285,439,1218017996
431,271,1218018325
2089740,462,1218018463
116,58,1218018682
101,358,1218018755
116,58,1218018931
429,462,1218018950
2089740,58,1218018988
430,219,1218019438
92,58,1218019760
363,121,1218020236
153,219,1218020656
457,83,1218021052
404,277,1218021282
328,328,1218021902
430,30,1218022072
457,358,1218022399
49,404,1218023011
342,462,1218024297
342,291,1218024417
430,92,1218024517
101,358,1218024584
423,92,1218024795
122,92,1218024985
340,92,1218025126
101,358,1218025211
99,92,1218025789
101,280,1218026253
116,358,1218026556
116,92,1218026825
423,434,1218026980
358,116,1218027444
100,92,1218027628
91,327,1218028005
269,92,1218028071
372,291,1218028291
372,92,1218028828
86,219,1218028943
46,404,1218029223
232,232,1218029239
232,45,1218029952
95,434,1218030272
86,219,1218031996
278,92,1218032153
91,87,1218032492
373,358,1218032529
86,87,1218033809
445,475,1218034172
391,475,1218034362
341,475,1218034693
51,380,1218034930
95,434,1218035179
192,380,1218035300
39,291,1218035753
383,476,1218035969
265,476,1218036416
342,370,1218036494
51,192,1218037474
383,22,1218037813
91,479,1218037971
383,22,1218038431
383,230,1218038556
1384652,92,1218038559
143,143,1218038608
484,25,1218038925
482,439,1218038962
482,25,1218039123
383,439,1218039258
275,383,1218039755
445,383,1218039964
486,25,1218039976
383,192,1218040130
483,204,1218040250
377,204,1218040396
486,486,1218040862
487,383,1218041178
383,486,1218041521
383,231,1218041978
377,439,1218042170
246,204,1218042275
267,479,1218042325
491,25,1218042679
51,195,1218042894
489,1,1218043410
332,383,1218043884
491,91,1218044476
492,92,1218044694
493,479,1218044774
380,377,1218045195
364,46,1218045580
377,377,1218045792
486,25,1218046132
199,186,1218046368
383,186,1218046649
377,439,1218046768
489,493,1218046871
266,493,1218047081
267,493,1218047407
267,46,1218047666
488,186,1218047885
279,186,1218047917
155,155,1218049455
33,277,1218049588
33,195,1218049836
257,370,1218049855
279,122,1218050052
533,484,1218050150
489,503,1218050397
216,484,1218050506
192,383,1218050713
489,383,1218050754
51,503,1218051179
501,257,1218051712
507,503,1218053073
457,324,1218054008
164,219,1218054134
37,383,1218054222
370,46,1218054853
482,116,1218054908
20,357,1218054944
265,357,1218054964
37,357,1218054993
161,25,1218055061
475,277,1218055488
383,384,1218055500
75,384,1218055912
419,35,1218056248
34,547,1218056337
60,547,1218056387
383,35,1218056457
419,514,1218056623
60,35,1218056639
512,395,1218056779
60,514,1218056833
91,35,1218056879
308,514,1218056943
115,1384652,1218057273
91,1384652,1218057284
34,514,1218057334
230,395,1218057395
383,1384652,1218057501
26,1384652,1218057623
115,1384652,1218057757
186,35,1218057869
91,342,1218057940
277,116,1218057968
26,437,1218058093
396,342,1218058149
265,342,1218058184
30,342,1218058196
115,342,1218058223
518,25,1218058413
1384652,342,1218058413
136,1384652,1218058421
20,342,1218058535
35,342,1218058628
419,383,1218058749
91,383,1218058757
383,308,1218058820
507,383,1218058889
136,514,1218058976
518,58,1218059034
164,342,1218059200
266,527,1218059353
91,383,1218059821
48,383,1218059976
419,527,1218060015
448,383,1218060075
136,527,1218060146
437,383,1218060215
448,527,1218060217
519,35,1218060491
392,527,1218060510
443,479,1218060532
37,383,1218060661
83,49,1218060736
121,383,1218060750
529,25,1218060958
26,383,1218060992
383,437,1218061036
91,437,1218061089
86,362,1218061098
399,1388162,1218061440
116,437,1218061909
357,527,1218061931
83,91,1218061975
35,30,1218062001
193,517,1218062130
317,30,1218062263
83,91,1218062327
357,384,1218062330
71,30,1218062332
518,362,1218062446
414,517,1218062528
519,328,1218062539
414,230,1218062612
533,230,1218062634
534,91,1218062699
383,230,1218062769
538,131,1218062785
36,30,1218062801
91,479,1218062809
383,517,1218062869
124,124,1218063129
537,124,1218063212
423,44,1218063335
527,527,1218063494
35,517,1218063831
136,124,1218063845
536,234,1218064026
35,44,1218064364
58,58,1218064369
547,539,1218064415
543,362,1218064485
269,402,1218064521
91,402,1218064561
541,91,1218065299
25,92,1218065858
71,269,1218066180
1384652,269,1218066225
91,269,1218066268
271,269,1218066386
547,44,1218066399
71,534,1218066429
83,269,1218066527
122,556,1218066816
556,72,1218067176
501,136,1218067604
265,269,1218067825
514,556,1218068338
225,557,1218068633
116,44,1218068835
40,92,1218069153
432,381,1218069542
116,514,1218069610
106,557,1218069632
1384652,514,1218069657
383,514,1218069686
91,514,1218069741
35,404,1218070143
381,514,1218070371
437,514,1218070799
75,136,1218070892
82,551,1218070951
384,557,1218071065
50,91,1218071236
35,514,1218071266
83,381,1218071456
122,381,1218071553
35,549,1218071578
423,381,1218071654
35,205,1218072018
551,551,1218072029
205,205,1218072308
37,381,1218072405
116,547,1218072645
383,91,1218072674
394,83,1218072681
1384652,59,1218072709
91,479,1218072808
116,91,1218072830
384,479,1218072941
342,514,1218073037
194,91,1218073208
35,91,1218073239
430,527,1218073273
563,83,1218073401
35,560,1218073495
373,514,1218073609
116,423,1218073763
35,423,1218073908
116,547,1218074063
35,547,1218074067
51,547,1218074145
26,83,1218074157
431,547,1218074376
370,406,1218074380
306,1384652,1218074423
51,1384652,1218074542
100,1384652,1218074548
116,1384652,1218075051
402,163,1218075193
551,381,1218075195
206,1384652,1218075330
93,59,1218075366
547,547,1218075593
26,26,1218075821
453,26,1218075937
117,1384652,1218076150
35,122,1218076164
567,49,1218076261
560,122,1218076271
309844,1384652,1218076489
205,205,1218076562
51,76,1218076634
521,308,1218076647
533,76,1218076718
86,547,1218076912
35,560,1218077285
419,560,1218077375
556,30,1218077634
383,423,1218077774
525,1384652,1218077973
402,163,1218077990
533,560,1218078118
560,560,1218078453
233,514,1218078931
419,121,1218079026
91,121,1218079079
521,121,1218079140
35,121,1218079156
342,269,1218079223
402,163,1218079330
206,423,1218079407
322,42,1218079524
91,269,1218079647
51,443,1218079829
35,443,1218079850
77,163,1218080252
538,59,1218080695
571,76,1218081576
571,234,1218081780
383,162,1218081831
414,162,1218082313
422,572,1218082535
556,514,1218082756
574,136,1218083425
571,486,1218083594
206,514,1218084351
5,230,1218084467
17,571,1218084500
527,572,1218084538
206,575,1218084649
17,575,1218084682
501,358,1218085707
59,271,1218086226
189,1384652,1218086593
322,42,1218086809
525,525,1218086997
580,91,1218087028
116,307,1218087520
34,46,1218087809
580,358,1218088267
571,83,1218088295
136,13,1218088452
571,571,1218088574
206,83,1218088816
161,25,1218088836
457,83,1218089161
582,292,1218089383
457,122,1218089555
83,83,1218089615
571,369,1218090561
483,1384652,1218090681
582,1384652,1218090832
83,83,1218090995
172,369,1218091018
17,556,1218091243
116,369,1218091247
350,576,1218091590
34,83,1218091726
571,253,1218091786
493,517,1218092018
1199387,453,1218092593
419,369,1218092911
582,556,1218093543
527,235,1218093641
590,453,1218093912
586,131,1218093913
423,551,1218093999
582,588,1218094039
26,551,1218094056
493,551,1218094138
588,588,1218094252
501,116,1218094278
188,488,1218094307
423,50,1218094349
432,381,1218094461
493,453,1218094536
122,488,1218094664
551,551,1218094742
590,50,1218094763
26,551,1218094898
91,55,1218094976
590,551,1218094991
493,551,1218095137
527,1384652,1218095218
590,1384652,1218095333
560,423,1218095547
493,519,1218095720
242,50,1218095748
419,551,1218095786
541,443,1218096076
423,392,1218096356
419,392,1218096382
92,122,1218096557
592,50,1218096591
357,551,1218096636
429,91,1218096802
493,91,1218096955
429,122,1218096981
550,91,1218097105
541,590,1218097213
527,55,1218097266
136,484,1218097356
582,484,1218097745
419,162,1218097783
136,364,1218098405
40,50,1218098425
422,364,1218098874
30,357,1218099115
552,357,1218099167
560,357,1218099317
590,111,1218099351
206,162,1218100606
522,590,1218100655
26,106,1218100998
206,55,1218101074
582,121,1218101252
17,34,1218101402
34,358,1218101419
522,358,1218101558
122,358,1218101590
116,522,1218101596
204,358,1218101645
17,45,1218101728
360,91,1218101909
522,358,1218101937
17,358,1218102006
122,358,1218102026
560,91,1218102052
493,358,1218102239
122,358,1218102332
17,1525924,1218102376
235,358,1218102478
493,1525924,1218102528
360,55,1218102561
598,1525924,1218102593
419,20207,1218103173
430,50,1218103261
598,571,1218103444
493,522,1218103715
157,522,1218103995
116,522,1218104695
271,522,1218106061
462,121,1218106624
264,131,1218106937
55,264,1218107095
198,122,1218107310
308,358,1218107697
198,122,1218107780
117,264,1218108047
308,396,1218108218
202,264,1218108322
528,525,1218108610
55,525,1218108728
533,358,1218108764
264,369,1218109488
60,525,1218109665
49,525,1218109734
352,525,1218109738
404,396,1218109854
231,369,1218109989
533,369,1218110009
113,525,1218110014
389,131,1218110067
369,369,1218110423
40,264,1218110734
534,522,1218110799
342,525,1218110844
528,25,1218111035
598,364,1218111152
574,307,1218111954
202,525,1218112045
332,423,1218112098
574,92,1218112385
522,92,1218112526
536,404,1218112818
9,404,1218112950
121,525,1218113146
358,307,1218113340
404,202,1218113640
51,202,1218113697
60,51,1218113752
489,202,1218113775
278,95,1218113905
77,51,1218114093
100,51,1218114271
476,476,1218114594
266,307,1218115231
476,202,1218115548
264,202,1218115557
231,51,1218115599
259,370,1218116428
422,100,1218117207
380,349,1218118675
122,235,1218118706
198,235,1218118909
488,488,1218119102
227,202,1218119877
193,51,1218120024
137,92,1218120461
227,192,1218121314
46,46,1218121804
383,202,1218122396
358,17,1218122547
116,192,1218123016
116,192,1218124029
383,267,1218124654
116,192,1218124657
383,86,1218126224
605,267,1218126658
342,383,1218127408
342,383,1218128182
486,92,1218128667
267,383,1218128998
486,192,1218129200
100,486,1218129937
612,189,1218131063
608,350,1218131073
170,381,1218131104
49,95,1218131550
608,588,1218131611
267,609,1218132501
480,501,1218132644
445,91,1218132935
33,227,1218132971
419,202,1218133089
617,501,1218133101
618,116,1218133316
611,522,1218133494
618,145,1218133816
608,332,1218133838
618,121,1218134123
615,202,1218135651
489,383,1218135822
267,383,1218135851
608,383,1218135854
40,402,1218136005
615,383,1218136142
493,380,1218136489
267,383,1218136822
267,383,1218137222
489,384,1218137390
619,383,1218137418
383,384,1218137459
34,384,1218137467
267,384,1218137478
34,383,1218137542
489,383,1218137704
267,383,1218137944
51,383,1218138109
238,307,1218138126
93,384,1218138439
267,608,1218138509
267,307,1218138724
287,287,1218138797
383,406,1218139027
75,406,1218139189
588,406,1218139217
287,634,1218139501
486,381,1218139526
410,25,1218139594
267,406,1218139632
360,381,1218139863
615,17,1218139866
26,637,1218139966
267,637,1218139978
309844,634,1218140017
383,637,1218140046
309844,637,1218140074
91,637,1218140142
557,637,1218140148
645,39,1218140247
137,406,1218140265
556,637,1218140897
206,91,1218141089
341,637,1218141134
157,287,1218141450
444,637,1218141617
576,576,1218141621
92,381,1218142611
341,381,1218142839
194,381,1218142882
83,637,1218142892
390,381,1218142919
634,381,1218143535
227,205,1218143684
547,637,1218144154
271,381,1218144156
462,381,1218144669
